model_id,rank_values,rank,state
30,1.3333333333333333,1.0,GO
21,0.75,2.0,GO
22,1.3333333333333333,1.0,GO
29,0.45,4.0,GO
28,0.3666666666666667,5.0,GO
25,0.6666666666666666,3.0,GO
27,0.2857142857142857,6.0,GO
