model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,composite_rank,state,year
22,1,1,1,1,2,2,1,PR,2024
25,4,3,2,2,1,1,2,PR,2024
28,2,2,4,4,3,3,3,PR,2024
30,6,6,3,3,5,5,4,PR,2024
27,5,5,5,6,4,4,5,PR,2024
21,3,4,7,7,6,6,6,PR,2024
29,7,7,6,5,7,7,7,PR,2024
