model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,rank_final,state,year
22,1,1,1,1,1,1,1,GO,2024
25,2,3,2,2,2,2,2,GO,2024
30,4,4,3,3,3,3,3,GO,2024
21,3,2,5,5,4,4,4,GO,2024
29,5,5,4,4,5,5,5,GO,2024
28,6,6,6,6,6,6,6,GO,2024
27,7,7,6,6,7,7,7,GO,2024
