model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,composite_rank,state,year
29,1,2,1,1,2,2,1,AM,2024
25,4,4,3,3,1,1,2,AM,2024
27,2,1,6,6,4,4,3,AM,2024
22,3,3,2,2,5,5,4,AM,2024
30,5,5,4,4,3,3,5,AM,2024
21,6,7,5,5,7,7,6,AM,2024
28,7,6,7,7,6,6,7,AM,2024
