model_id,rank_values,rank,state
30,1.25,2.0,MG
21,1.0,3.0,MG
22,0.8333333333333333,4.0,MG
25,1.3333333333333333,1.0,MG
28,0.45,5.0,MG
27,0.3666666666666667,6.0,MG
