model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,rank_final,state,year
30,1,2,1,1,1,2,1,CE,2024
25,2,1,4,3,3,1,2,CE,2024
22,4,3,2,2,2,3,3,CE,2024
21,3,4,3,4,4,4,4,CE,2024
27,5,5,5,5,5,5,5,CE,2024
28,6,6,6,5,6,6,6,CE,2024
