model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,composite_rank,state,year
21,1,1,3,4,1,1,1,CE,2023
30,2,2,1,1,2,2,2,CE,2023
22,4,4,2,2,3,3,3,CE,2023
25,3,3,6,5,5,4,4,CE,2023
29,6,5,4,3,6,5,5,CE,2023
27,5,6,5,6,4,6,6,CE,2023
28,7,7,7,7,7,7,7,CE,2023
