model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,rank_final,state,year
25,3,2,1,1,1,1,1,MG,2024
21,1,1,5,5,3,3,2,MG,2024
22,2,3,2,2,2,2,3,MG,2024
30,4,4,3,3,4,4,4,MG,2024
29,5,5,4,4,5,5,5,MG,2024
28,6,6,6,6,6,6,6,MG,2024
27,7,7,7,6,7,7,7,MG,2024
