model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,rank_final,state,year
30,1,1,1,1,1,1,1,AM,2023
21,2,2,3,3,3,2,2,AM,2023
22,3,4,2,2,2,3,3,AM,2023
25,4,3,4,4,4,4,4,AM,2023
27,5,5,5,5,5,5,5,AM,2023
28,6,6,6,6,6,6,6,AM,2023
