model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,composite_rank,state,year
30,3,1,1,1,2,1,1,PR,2023
27,2,4,5,6,1,2,2,PR,2023
21,1,2,7,5,6,4,3,PR,2023
25,4,5,3,3,3,3,4,PR,2023
22,6,6,2,2,4,6,5,PR,2023
29,5,3,4,4,7,5,6,PR,2023
28,7,7,6,7,5,7,7,PR,2023
