model_id,rank_S1,rank_S2,rank_S3,rank_S4,rank_S5,rank_S6,composite_rank,state,year
30,1,2,1,1,1,1,1,GO,2023
21,2,1,4,4,4,2,2,GO,2023
22,4,4,2,2,2,4,3,GO,2023
29,3,3,3,3,3,3,4,GO,2023
28,5,5,6,6,5,5,5,GO,2023
25,7,7,5,5,6,7,6,GO,2023
27,6,6,7,7,7,6,7,GO,2023
